ts,ws_temp_f,ws_rh_pct,ws_solar_w_m2,ws_wind_mph,temp_avg,rh_avg,vpd_avg,temp_north,temp_east,temp_west,temp_south,heat1,heat2,fan1,fan2,vent
2025-10-06 13:00:00+00,43.88,,0,0.961882605583393,57.7399978637695,67.25,0.533848643302917,,57.7399978637695,,,t,f,f,f,f
2025-10-06 13:02:00+00,43.88,,0,0.961882605583393,57.7399978637695,67.2750015258789,0.534296095371246,57.5599975585938,57.7399978637695,,,t,f,f,f,f
2025-10-06 13:04:00+00,43.736,,2,0.782927702219041,57.6949996948242,67.1999969482422,0.533383131027222,,57.9200019836426,,,t,f,f,f,f
2025-10-06 13:06:00+00,,,2,0,57.7399978637695,67.25,0.533838093280792,,,,,t,f,f,f,f
2025-10-06 13:08:00+00,,,2,0,57.7399978637695,67.25,0.533843338489532,,57.9200019836426,,,t,f,f,f,f
2025-10-06 13:10:00+00,43.862,,2,0.0671080887616321,57.6949996948242,67.1999969482422,0.533385753631592,,57.7399978637695,,,t,f,f,f,f
2025-10-06 13:12:00+00,,,2,0,57.7849998474121,67.25,0.534706234931946,57.7399978637695,57.9200019836426,,,t,f,f,f,f
2025-10-06 13:14:00+00,43.898,,3,1.8790264853257,57.7849998474121,67.2249984741211,0.53552120923996,57.7399978637695,,,,t,f,f,f,f
2025-10-06 13:16:00+00,,,3,0,57.7399978637695,67.2750015258789,0.533385753631592,57.7399978637695,57.7399978637695,,,t,f,f,f,f
2025-10-06 13:20:00+00,43.934,,4,0.022369362920544,57.7849998474121,67.1750030517578,0.535931348800659,,57.9200019836426,,,t,f,f,f,f
2025-10-06 13:22:00+00,,,4,0,57.7849998474121,67.25,0.534708857536316,57.7399978637695,57.9200019836426,,,t,f,f,f,f
2025-10-06 13:24:00+00,43.97,,4,0.290801717967072,57.7399978637695,67.1749954223633,0.535066246986389,,57.7399978637695,,,t,f,f,f,f
2025-10-06 13:26:00+00,,,5,0,57.7849998474121,67.1749954223633,0.53552120923996,,57.9200019836426,,,t,f,f,f,f
2025-10-06 13:28:00+00,,,5,0,57.7399978637695,67.1500015258789,0.535468101501465,57.5599975585938,57.9200019836426,,,t,f,f,f,f
2025-10-06 13:30:00+00,43.916,,6,1.96850393700787,57.7849998474121,67.1500015258789,0.536749005317688,57.7399978637695,,,57.5599975585938,t,f,f,f,f
